No,Filename,Path,True Class,Predicted Class,Result,Confidence,Confidence (%),Fresh Probability,Fresh Probability (%),Rotten Probability,Rotten Probability (%)
54,16521158729638_jpg.rf.3c9c7a3c23050c4c17bb325ce8a00ac3.jpg,test\Fresh\16521158729638_jpg.rf.3c9c7a3c23050c4c17bb325ce8a00ac3.jpg,fresh,fresh,Correct,0.9999872446,99.998724,0.9999872446,99.998724,0.0000127486,0.001275
55,tomat_segar (4882).jpg,test\Fresh\tomat_segar (4882).jpg,fresh,fresh,Correct,0.9999988079,99.999881,0.9999988079,99.999881,0.0000011706,0.000117
56,freshCarrot (121).jpg,test\Fresh\freshCarrot (121).jpg,fresh,fresh,Correct,0.9962402582,99.624026,0.9962402582,99.624026,0.0037597013,0.375970
57,rotated_by_15_Screen Shot 2018-06-08 at 5.04.42 PM.png,test\Fresh\rotated_by_15_Screen Shot 2018-06-08 at 5.04.42 PM.png,fresh,fresh,Correct,0.9959592223,99.595922,0.9959592223,99.595922,0.0040408135,0.404081
58,Carrot-Pumpkins-2_jpg.rf.9766a7b5b74798a150c36c2355886e2f.jpg,test\Fresh\Carrot-Pumpkins-2_jpg.rf.9766a7b5b74798a150c36c2355886e2f.jpg,fresh,fresh,Correct,0.9990602136,99.906021,0.9990602136,99.906021,0.0009398495,0.093985
59,KakaoTalk_20230809_191311559_20_jpg.rf.956d4eb54d2f6047ab2f2b9fb8ff66a4.jpg,test\Fresh\KakaoTalk_20230809_191311559_20_jpg.rf.956d4eb54d2f6047ab2f2b9fb8ff66a4.jpg,fresh,fresh,Correct,0.9986672401,99.866724,0.9986672401,99.866724,0.0013327365,0.133274
60,wortel_segar (1327).jpg,test\Fresh\wortel_segar (1327).jpg,fresh,fresh,Correct,0.9976037145,99.760371,0.9976037145,99.760371,0.0023962769,0.239628
61,49_jpg.rf.91fa90017b41edb02b9ea3e70519f854.jpg,test\Fresh\49_jpg.rf.91fa90017b41edb02b9ea3e70519f854.jpg,fresh,fresh,Correct,0.9999951124,99.999511,0.9999951124,99.999511,0.0000049063,0.000491
62,Day1A.jpg_0_4054.jpg,test\Fresh\Day1A.jpg_0_4054.jpg,fresh,fresh,Correct,0.9999970198,99.999702,0.9999970198,99.999702,0.0000029907,0.000299
63,freshPotato (230).jpg,test\Fresh\freshPotato (230).jpg,fresh,fresh,Correct,0.9985502362,99.855024,0.9985502362,99.855024,0.0014497236,0.144972
64,o_f020.png,test\Fresh\o_f020.png,fresh,fresh,Correct,0.9923306704,99.233067,0.9923306704,99.233067,0.0076692631,0.766926
65,freshCarrot (283).jpg,test\Fresh\freshCarrot (283).jpg,fresh,fresh,Correct,0.9999994040,99.999940,0.9999994040,99.999940,0.0000005672,0.000057
66,wortel_segar (1968).jpg,test\Fresh\wortel_segar (1968).jpg,fresh,fresh,Correct,0.9996566772,99.965668,0.9996566772,99.965668,0.0003433484,0.034335
67,rotated_by_15_Screen Shot 2018-06-13 at 12.15.13 AM.png,test\Fresh\rotated_by_15_Screen Shot 2018-06-13 at 12.15.13 AM.png,fresh,fresh,Correct,0.9997467399,99.974674,0.9997467399,99.974674,0.0002533068,0.025331
68,freshPepper (377).jpg,test\Fresh\freshPepper (377).jpg,fresh,fresh,Correct,0.9995967746,99.959677,0.9995967746,99.959677,0.0004032931,0.040329
69,jeruk_s (51).jpg,test\Fresh\jeruk_s (51).jpg,fresh,fresh,Correct,0.9999917746,99.999177,0.9999917746,99.999177,0.0000081776,0.000818
70,IMG_20200822_223854.jpg_0_8789.jpg,test\Fresh\IMG_20200822_223854.jpg_0_8789.jpg,fresh,fresh,Correct,0.9989740849,99.897408,0.9989740849,99.897408,0.0010259799,0.102598
71,rotated_by_30_Screen Shot 2018-06-08 at 5.25.43 PM.png,test\Fresh\rotated_by_30_Screen Shot 2018-06-08 at 5.25.43 PM.png,fresh,fresh,Correct,0.9663943052,96.639431,0.9663943052,96.639431,0.0336056873,3.360569
72,tomat_segar (2629).jpg,test\Fresh\tomat_segar (2629).jpg,fresh,fresh,Correct,0.9995332956,99.953330,0.9995332956,99.953330,0.0004667119,0.046671
73,freshCarrot (160).jpg,test\Fresh\freshCarrot (160).jpg,fresh,fresh,Correct,0.9999824762,99.998248,0.9999824762,99.998248,0.0000175051,0.001751
74,tomat_segar (2340).jpg,test\Fresh\tomat_segar (2340).jpg,fresh,fresh,Correct,0.9987194538,99.871945,0.9987194538,99.871945,0.0012805883,0.128059
75,o_f292.png,test\Fresh\o_f292.png,fresh,fresh,Correct,0.9985786676,99.857867,0.9985786676,99.857867,0.0014213321,0.142133
76,tomat_segar (1472).jpg,test\Fresh\tomat_segar (1472).jpg,fresh,fresh,Correct,0.9999432564,99.994326,0.9999432564,99.994326,0.0000566871,0.005669
77,tomat_segar (41).png,test\Fresh\tomat_segar (41).png,fresh,fresh,Correct,1.0000000000,100.000000,1.0000000000,100.000000,0.0000000046,0.000000
78,jeruk_segar (380).png,test\Fresh\jeruk_segar (380).png,fresh,fresh,Correct,0.9836677909,98.366779,0.9836677909,98.366779,0.0163322370,1.633224
79,o (1994).jpg,test\Fresh\o (1994).jpg,fresh,fresh,Correct,0.9952403307,99.524033,0.9952403307,99.524033,0.0047596456,0.475965
80,tomat_segar (5694).jpg,test\Fresh\tomat_segar (5694).jpg,fresh,fresh,Correct,0.9968122840,99.681228,0.9968122840,99.681228,0.0031877081,0.318771
81,img_451_jpeg.rf.d8a9c1bfa7492b5098ee5e4d1178fce6.jpg,test\Fresh\img_451_jpeg.rf.d8a9c1bfa7492b5098ee5e4d1178fce6.jpg,fresh,fresh,Correct,0.9999160767,99.991608,0.9999160767,99.991608,0.0000838714,0.008387
82,t_f657.png,test\Fresh\t_f657.png,fresh,fresh,Correct,0.9997426867,99.974269,0.9997426867,99.974269,0.0002573171,0.025732
83,IMG_20200825_144644.jpg_0_7989.jpg,test\Fresh\IMG_20200825_144644.jpg_0_7989.jpg,fresh,fresh,Correct,0.9999996424,99.999964,0.9999996424,99.999964,0.0000003081,0.000031
84,IMG_20220606_093546.jpg,test\Fresh\IMG_20220606_093546.jpg,fresh,fresh,Correct,0.9987994432,99.879944,0.9987994432,99.879944,0.0012005377,0.120054
85,freshPotato (454).jpg,test\Fresh\freshPotato (454).jpg,fresh,fresh,Correct,0.9983910322,99.839103,0.9983910322,99.839103,0.0016089702,0.160897
86,IMG_20231116_111806_jpg.rf.5933168408f13b4282e3564a0067e28a.jpg,test\Fresh\IMG_20231116_111806_jpg.rf.5933168408f13b4282e3564a0067e28a.jpg,fresh,fresh,Correct,0.9988595247,99.885952,0.9988595247,99.885952,0.0011404705,0.114047
87,IMG_20200725_095418.jpg_0_3595.jpg,test\Fresh\IMG_20200725_095418.jpg_0_3595.jpg,fresh,fresh,Correct,0.9977032542,99.770325,0.9977032542,99.770325,0.0022967225,0.229672
88,b_f812.png,test\Fresh\b_f812.png,fresh,fresh,Correct,1.0000000000,100.000000,1.0000000000,100.000000,0.0000000006,0.000000
89,tomat_segar (3343).jpg,test\Fresh\tomat_segar (3343).jpg,fresh,fresh,Correct,0.9999995232,99.999952,0.9999995232,99.999952,0.0000004222,0.000042
90,tomat_segar (3650).jpg,test\Fresh\tomat_segar (3650).jpg,fresh,fresh,Correct,0.9999535084,99.995351,0.9999535084,99.995351,0.0000464601,0.004646
91,freshMango (26).jpg,test\Fresh\freshMango (26).jpg,fresh,fresh,Correct,0.9972459078,99.724591,0.9972459078,99.724591,0.0027541416,0.275414
92,wortel_segar (1475).jpg,test\Fresh\wortel_segar (1475).jpg,fresh,fresh,Correct,0.9999995232,99.999952,0.9999995232,99.999952,0.0000005192,0.000052
93,wortel_segar (1821).jpg,test\Fresh\wortel_segar (1821).jpg,fresh,fresh,Correct,0.9999996424,99.999964,0.9999996424,99.999964,0.0000003362,0.000034
94,Screen-Shot-2018-06-13-at-12-10-04-AM_png.rf.9d2be9b78efc34489074caae6082d149.jpg,test\Fresh\Screen-Shot-2018-06-13-at-12-10-04-AM_png.rf.9d2be9b78efc34489074caae6082d149.jpg,fresh,fresh,Correct,0.9999325275,99.993253,0.9999325275,99.993253,0.0000675233,0.006752
95,A260109XX_10225_jpg.rf.969c860e6a1789d973d6a6e81ae624d5.jpg,test\Fresh\A260109XX_10225_jpg.rf.969c860e6a1789d973d6a6e81ae624d5.jpg,fresh,fresh,Correct,0.9962114096,99.621141,0.9962114096,99.621141,0.0037886275,0.378863
96,IMG_20220527_090207.jpg,test\Fresh\IMG_20220527_090207.jpg,fresh,fresh,Correct,0.9847479463,98.474795,0.9847479463,98.474795,0.0152520742,1.525207
97,Carrot test_18.jpg,test\Fresh\Carrot test_18.jpg,fresh,fresh,Correct,0.9950205088,99.502051,0.9950205088,99.502051,0.0049794456,0.497945
98,freshPepper (427).jpg,test\Fresh\freshPepper (427).jpg,fresh,fresh,Correct,0.9984219074,99.842191,0.9984219074,99.842191,0.0015780982,0.157810
99,freshMango (40).jpg,test\Fresh\freshMango (40).jpg,fresh,fresh,Correct,0.9990818501,99.908185,0.9990818501,99.908185,0.0009181201,0.091812
100,jeruk_segar (584).png,test\Fresh\jeruk_segar (584).png,fresh,fresh,Correct,0.9999994040,99.999940,0.9999994040,99.999940,0.0000006012,0.000060
101,tomat_segar (1865).jpg,test\Fresh\tomat_segar (1865).jpg,fresh,fresh,Correct,0.9955521226,99.555212,0.9955521226,99.555212,0.0044478639,0.444786
102,freshCucumber (311).jpg,test\Fresh\freshCucumber (311).jpg,fresh,fresh,Correct,0.9822631478,98.226315,0.9822631478,98.226315,0.0177368205,1.773682
103,jeruk_segar (288).png,test\Fresh\jeruk_segar (288).png,fresh,fresh,Correct,0.9982048273,99.820483,0.9982048273,99.820483,0.0017951148,0.179511
104,freshBanana (119).png,test\Fresh\freshBanana (119).png,fresh,fresh,Correct,0.9999436140,99.994361,0.9999436140,99.994361,0.0000564279,0.005643
105,carrot_-71_jpg.rf.1754da1b832627be8f5f62752e78a5dc.jpg,test\Fresh\carrot_-71_jpg.rf.1754da1b832627be8f5f62752e78a5dc.jpg,fresh,fresh,Correct,0.9999654293,99.996543,0.9999654293,99.996543,0.0000345975,0.003460
106,tomat_segar (214).png,test\Fresh\tomat_segar (214).png,fresh,fresh,Correct,1.0000000000,100.000000,1.0000000000,100.000000,0.0000000028,0.000000
107,oranges_png.rf.808317577ab0393731618a5dbb2569b7.jpg,test\Fresh\oranges_png.rf.808317577ab0393731618a5dbb2569b7.jpg,fresh,fresh,Correct,0.9999945164,99.999452,0.9999945164,99.999452,0.0000054954,0.000550
108,jeruk_s (373).jpg,test\Fresh\jeruk_s (373).jpg,fresh,fresh,Correct,0.9996749163,99.967492,0.9996749163,99.967492,0.0003251109,0.032511
109,000017_jpg.rf.1e051d1e05a584e9f62b78b8b96bff4b.jpg,test\Fresh\000017_jpg.rf.1e051d1e05a584e9f62b78b8b96bff4b.jpg,fresh,fresh,Correct,0.9999985695,99.999857,0.9999985695,99.999857,0.0000014125,0.000141
110,r_283_100_jpg.rf.b3c8b59e4ba55a0342a26223b044bdfd.jpg,test\Fresh\r_283_100_jpg.rf.b3c8b59e4ba55a0342a26223b044bdfd.jpg,fresh,fresh,Correct,0.9999974966,99.999750,0.9999974966,99.999750,0.0000025302,0.000253
111,Screen Shot 2018-06-08 at 5.15.45 PM.png,test\Fresh\Screen Shot 2018-06-08 at 5.15.45 PM.png,fresh,fresh,Correct,0.9999667406,99.996674,0.9999667406,99.996674,0.0000333042,0.003330
112,wortel_s (285).jpg,test\Fresh\wortel_s (285).jpg,fresh,fresh,Correct,0.9245447516,92.454475,0.9245447516,92.454475,0.0754552633,7.545526
113,freshCarrot (297).jpg,test\Fresh\freshCarrot (297).jpg,fresh,fresh,Correct,0.9999921322,99.999213,0.9999921322,99.999213,0.0000078130,0.000781
114,jeruk_segar (272).jpg,test\Fresh\jeruk_segar (272).jpg,fresh,fresh,Correct,0.9992075562,99.920756,0.9992075562,99.920756,0.0007924575,0.079246
115,rotated_by_30_Screen Shot 2018-06-12 at 10.01.41 PM.png,test\Fresh\rotated_by_30_Screen Shot 2018-06-12 at 10.01.41 PM.png,fresh,fresh,Correct,1.0000000000,100.000000,1.0000000000,100.000000,0.0000000006,0.000000
116,freshApple (682).png,test\Fresh\freshApple (682).png,fresh,fresh,Correct,0.9999929667,99.999297,0.9999929667,99.999297,0.0000070628,0.000706
117,6_jpg.rf.1727cd1607bed3212215bd0e62431289.jpg,test\Fresh\6_jpg.rf.1727cd1607bed3212215bd0e62431289.jpg,fresh,fresh,Correct,0.9999995232,99.999952,0.9999995232,99.999952,0.0000004450,0.000044
118,saltandpepper_Screen Shot 2018-06-13 at 12.08.29 AM.png,test\Fresh\saltandpepper_Screen Shot 2018-06-13 at 12.08.29 AM.png,fresh,fresh,Correct,0.9999560118,99.995601,0.9999560118,99.995601,0.0000440264,0.004403
119,105_jpg.rf.54883844cfa38e3a052908f6607805b5.jpg,test\Fresh\105_jpg.rf.54883844cfa38e3a052908f6607805b5.jpg,fresh,fresh,Correct,0.9999998808,99.999988,0.9999998808,99.999988,0.0000000617,0.000006
120,reject (340).jpg,test\Fresh\reject (340).jpg,fresh,fresh,Correct,0.9999120235,99.991202,0.9999120235,99.991202,0.0000879928,0.008799
121,o (1570).jpg,test\Fresh\o (1570).jpg,fresh,fresh,Correct,0.9870365858,98.703659,0.9870365858,98.703659,0.0129633546,1.296335
122,tomat_segar (2929).jpg,test\Fresh\tomat_segar (2929).jpg,fresh,fresh,Correct,0.9999952316,99.999523,0.9999952316,99.999523,0.0000047623,0.000476
123,rotated_by_30_Screen Shot 2018-06-08 at 5.07.26 PM.png,test\Fresh\rotated_by_30_Screen Shot 2018-06-08 at 5.07.26 PM.png,fresh,fresh,Correct,0.9999998808,99.999988,0.9999998808,99.999988,0.0000001520,0.000015
124,t_f101.png,test\Fresh\t_f101.png,fresh,fresh,Correct,0.9966795444,99.667954,0.9966795444,99.667954,0.0033204481,0.332045
125,tomat_segar (6242).jpg,test\Fresh\tomat_segar (6242).jpg,fresh,fresh,Correct,0.9970345497,99.703455,0.9970345497,99.703455,0.0029653993,0.296540
126,tomat_segar (1717).jpg,test\Fresh\tomat_segar (1717).jpg,fresh,fresh,Correct,0.9999970198,99.999702,0.9999970198,99.999702,0.0000029831,0.000298
127,rotated_by_30_Screen Shot 2018-06-12 at 9.41.26 PM.png,test\Fresh\rotated_by_30_Screen Shot 2018-06-12 at 9.41.26 PM.png,fresh,fresh,Correct,1.0000000000,100.000000,1.0000000000,100.000000,0.0000000031,0.000000
128,141_jpg.rf.c834a6ed01ccf59bfa9f4701e7190134.jpg,test\Fresh\141_jpg.rf.c834a6ed01ccf59bfa9f4701e7190134.jpg,fresh,fresh,Correct,0.9999868870,99.998689,0.9999868870,99.998689,0.0000131554,0.001316
129,tomato1_6.jpg_0_917.jpg,test\Fresh\tomato1_6.jpg_0_917.jpg,fresh,fresh,Correct,1.0000000000,100.000000,1.0000000000,100.000000,0.0000000063,0.000001
130,capsicum3_4.jpg_0_7454.jpg,test\Fresh\capsicum3_4.jpg_0_7454.jpg,fresh,fresh,Correct,0.9999916553,99.999166,0.9999916553,99.999166,0.0000083678,0.000837
131,IMG_20220606_094050.jpg,test\Fresh\IMG_20220606_094050.jpg,fresh,fresh,Correct,0.9999276400,99.992764,0.9999276400,99.992764,0.0000723044,0.007230
132,tomat_segar (4058).jpg,test\Fresh\tomat_segar (4058).jpg,fresh,fresh,Correct,0.9999718666,99.997187,0.9999718666,99.997187,0.0000281640,0.002816
133,20220413_191547_jpg.rf.f756abf933491c5ce655b6011b3f09ba.jpg,test\Fresh\20220413_191547_jpg.rf.f756abf933491c5ce655b6011b3f09ba.jpg,fresh,fresh,Correct,0.9999992847,99.999928,0.9999992847,99.999928,0.0000007652,0.000077
134,rotated_by_60_Screen Shot 2018-06-13 at 12.06.10 AM.png,test\Fresh\rotated_by_60_Screen Shot 2018-06-13 at 12.06.10 AM.png,fresh,fresh,Correct,0.9993845224,99.938452,0.9993845224,99.938452,0.0006154411,0.061544
135,tomat_segar (3730).jpg,test\Fresh\tomat_segar (3730).jpg,fresh,fresh,Correct,0.9999988079,99.999881,0.9999988079,99.999881,0.0000011486,0.000115
136,freshOrange (16).jpg,test\Fresh\freshOrange (16).jpg,fresh,fresh,Correct,0.9994051456,99.940515,0.9994051456,99.940515,0.0005948716,0.059487
137,t_f252.png,test\Fresh\t_f252.png,fresh,fresh,Correct,0.9961563945,99.615639,0.9961563945,99.615639,0.0038435734,0.384357
138,wortel_s (119).jpg,test\Fresh\wortel_s (119).jpg,fresh,fresh,Correct,0.9905603528,99.056035,0.9905603528,99.056035,0.0094396863,0.943969
