image,detected,bbox,expected,predicted,confidence,fresh_probability,rotten_probability,correct,error
Dataset/Fresh/FreshCucumber/freshCucumber (90).jpg,True,"0,136,776,320",fresh,fresh,0.764386,0.764386,0.235614,True,
Dataset/Fresh/FreshOrange/jeruk_s (67).jpg,True,"38,56,767,734",fresh,fresh,0.999754,0.999754,0.000246,True,
Dataset/Fresh/FreshApple/a_f021.png,True,"55,0,300,327",fresh,fresh,0.991663,0.991663,0.008337,True,
Dataset/Rotten/RottenOrange/rotated_by_15_Screen Shot 2018-06-12 at 11.41.26 PM.png,True,"29,14,479,439",rotten,fresh,0.614581,0.614581,0.385419,False,
Dataset/Rotten/RottenTomato/tomat_busuk (525).jpg,True,"0,0,233,217",rotten,fresh,0.678793,0.678793,0.321207,False,
Dataset/Fresh/FreshCarrot/105_jpg.rf.59c924bc1f603e9b193559255da8cad6.jpg,True,"0,13,640,640",fresh,fresh,0.992917,0.992917,0.007083,True,
Dataset/Rotten/RottenApple/Screen Shot 2018-06-07 at 3.06.11 PM.png,True,"40,22,343,292",rotten,rotten,0.898614,0.101386,0.898614,True,
Dataset/Rotten/RottenBanana/rotated_by_15_Screen Shot 2018-06-12 at 9.27.15 PM.png,True,"52,0,512,396",rotten,rotten,0.996728,0.003272,0.996728,True,
Dataset/Rotten/RottenMango/rottenMango (342).jpg,True,"0,14,218,143",rotten,rotten,0.694533,0.305467,0.694533,True,
Dataset/Rotten/RottenBanana/rotated_by_60_Screen Shot 2018-06-12 at 8.49.30 PM.png,True,"11,40,280,356",rotten,rotten,0.929723,0.070277,0.929723,True,
Dataset/Rotten/RottenApple/rotated_by_15_Screen Shot 2018-06-07 at 2.15.50 PM.png,True,"12,36,495,483",rotten,rotten,0.877813,0.122187,0.877813,True,
Dataset/Fresh/FreshBanana/b_f710.png,True,"39,34,562,431",fresh,fresh,0.989673,0.989673,0.010327,True,
Dataset/Fresh/FreshTomato/o (908).jpg,True,"11,6,251,247",fresh,fresh,0.930363,0.930363,0.069637,True,
Dataset/Fresh/FreshOrange/rotated_by_15_Screen Shot 2018-06-13 at 12.06.52 AM.png,True,"0,33,437,364",fresh,fresh,0.994708,0.994708,0.005292,True,
Dataset/Fresh/FreshOrange/saltandpepper_Screen Shot 2018-06-13 at 12.11.57 AM.png,True,"14,12,277,226",fresh,fresh,0.847185,0.847185,0.152815,True,
Dataset/Rotten/RottenBellpepper/rottenPepper (498).jpg,True,"0,0,254,174",rotten,fresh,0.589706,0.589706,0.410294,False,
Dataset/Fresh/FreshOrange/images--86-_jpg.rf.dca37b2b79fc948928b7809b9c2e5935.jpg,True,"100,22,212,114",fresh,fresh,0.999594,0.999594,0.000406,True,
Dataset/Fresh/FreshOrange/jeruk_segar (758).png,True,"17,18,140,142",fresh,fresh,0.998576,0.998576,0.001424,True,
Dataset/Rotten/RottenPotato/p_r646.png,True,"132,99,312,245",rotten,rotten,0.990128,0.009872,0.990128,True,
Dataset/Fresh/FreshTomato/o (1988).jpg,True,"22,57,229,212",fresh,fresh,0.999269,0.999269,0.000731,True,
Dataset/Rotten/RottenCapsicum/WhatsApp Image 2020-11-07 at 11.30.47 PM.jpg_0_709.jpg,True,"18,113,398,421",rotten,fresh,0.638853,0.638853,0.361147,False,
Dataset/Fresh/FreshOrange/DrAxeOrangeNutrition_Thumbnail_jpg.rf.5ef686fcd813feafd27101a55e2e9c8a.jpg,True,"0,144,630,592",fresh,fresh,0.999957,0.999957,0.000043,True,
Dataset/Rotten/RottenBanana/rotated_by_45_Screen Shot 2018-06-12 at 9.13.21 PM.png,True,"47,0,538,404",rotten,rotten,0.985727,0.014273,0.985727,True,
Dataset/Rotten/RottenPotato/rottenPotato (506).jpg,True,"43,60,336,213",rotten,rotten,0.748323,0.251677,0.748323,True,
Dataset/Fresh/FreshCapciscum/capsicum3_10.jpg_0_1304.jpg,True,"201,128,454,363",fresh,fresh,0.999825,0.999825,0.000175,True,
Dataset/Fresh/FreshBanana/saltandpepper_Screen Shot 2018-06-12 at 9.54.50 PM.png,True,"6,8,431,396",fresh,fresh,0.992098,0.992098,0.007902,True,
Dataset/Fresh/FreshOrange/images2_jpg.rf.b8015f735bbf7b5c6040856aaec02f64.jpg,True,"202,140,473,577",fresh,fresh,0.998980,0.998980,0.001020,True,
Dataset/Fresh/FreshOkara/o_f540.png,True,"91,108,347,221",fresh,fresh,0.929308,0.929308,0.070692,True,
Dataset/Rotten/RottenCarrot/Root Knot Nematode_112.jpg,True,"1507,0,2380,2550",rotten,fresh,0.973769,0.973769,0.026231,False,
Dataset/Fresh/FreshOrange/jeruk_segar (231).png,True,"24,10,296,276",fresh,fresh,0.589113,0.589113,0.410887,True,
Dataset/Fresh/FreshStrawberry/freshStrawberry (497).jpg,True,"61,40,123,126",fresh,fresh,0.688782,0.688782,0.311218,True,
Dataset/Rotten/RottenTomato/d (160).png,True,"55,0,183,206",rotten,fresh,0.575555,0.575555,0.424445,False,
Dataset/Rotten/RottenApple/saltandpepper_Screen Shot 2018-06-07 at 3.04.47 PM.png,True,"39,28,272,237",rotten,rotten,0.885989,0.114011,0.885989,True,
Dataset/Fresh/FreshBanana/freshBanana (378).jpg,True,"47,10,156,168",fresh,fresh,0.970848,0.970848,0.029152,True,
Dataset/Fresh/FreshBanana/b_f125.png,True,"25,16,586,386",fresh,fresh,0.999997,0.999997,0.000003,True,
Dataset/Fresh/FreshCapciscum/capsicum3_1.jpg_0_4049.jpg,True,"121,144,375,411",fresh,fresh,0.999249,0.999249,0.000751,True,
Dataset/Fresh/FreshCarrot/purple Disease_60.jpg,True,"0,159,4624,2604",fresh,fresh,0.868955,0.868955,0.131045,True,
Dataset/Fresh/FreshCarrot/wortel_segar (477).jpg,True,"69,85,137,129",fresh,fresh,0.994121,0.994121,0.005879,True,
Dataset/Fresh/FreshCarrot/520_jpg.rf.4936b8129945e33ee84e3fad4a96075c.jpg,True,"0,66,631,591",fresh,fresh,0.792566,0.792566,0.207434,True,
Dataset/Fresh/FreshCarrot/Image_9_jpg.rf.baf3fa55a922eba33e97615d145e464b.jpg,True,"0,0,1280,720",fresh,fresh,0.995494,0.995494,0.004506,True,
Dataset/Fresh/FreshPotato/p_f027.png,True,"133,113,297,221",fresh,fresh,0.984434,0.984434,0.015566,True,
Dataset/Fresh/FreshOrange/rotated_by_30_Screen Shot 2018-06-12 at 11.51.47 PM.png,True,"61,0,395,350",fresh,fresh,0.998031,0.998031,0.001969,True,
Dataset/Rotten/RottenTomato/Copy of IMG_20200727_223213.jpg_0_671.jpg,True,"26,28,500,429",rotten,fresh,0.682737,0.682737,0.317263,False,
Dataset/Fresh/FreshCarrot/355_jpg.rf.091d6404f91985057572243590b286fc.jpg,True,"52,31,609,617",fresh,fresh,0.997068,0.997068,0.002932,True,
Dataset/Fresh/FreshCarrot/1634553490309583-5707c7cc-e924-48f7-b780-670872f217ce_jpg.rf.d1caf090618bca3688be94ce869be2ad.jpg,True,"0,312,448,570",fresh,fresh,0.998361,0.998361,0.001639,True,
Dataset/Fresh/FreshBanana/rotated_by_60_Screen Shot 2018-06-12 at 9.47.51 PM.png,True,"58,0,462,400",fresh,fresh,0.996208,0.996208,0.003792,True,
Dataset/Rotten/RottenApple/a_r644.png,True,"62,15,464,419",rotten,rotten,0.980405,0.019595,0.980405,True,
Dataset/Fresh/FreshTomato/tomat_segar (4737).jpg,True,"184,148,324,326",fresh,fresh,0.998016,0.998016,0.001984,True,
Dataset/Fresh/FreshTomato/DSCN4157.jpg_0_3803.jpg,True,"134,167,356,377",fresh,fresh,0.998998,0.998998,0.001002,True,
Dataset/Rotten/RottenStrawberry/rottenStrawberry (36).jpg,True,"12,87,113,197",rotten,rotten,0.989584,0.010416,0.989584,True,
Dataset/Fresh/FreshTomato/reject (298).jpg,True,"176,132,369,357",fresh,fresh,0.999992,0.999992,0.000008,True,
Dataset/Rotten/RottenCucumber/rottenCucumber (475).jpg,True,"8,33,94,84",rotten,rotten,0.866567,0.133433,0.866567,True,
Dataset/Fresh/FreshTomato/tomat_segar (3541).jpg,True,"52,30,240,256",fresh,fresh,1.000000,1.000000,0.000000,True,
Dataset/Rotten/RottenCarrot/IMG_20231115_184516_jpg.rf.1e4a19a6570e492784d4346139ee0958.jpg,True,"23,57,640,577",rotten,rotten,0.999999,0.000001,0.999999,True,
Dataset/Fresh/FreshCarrot/wortel_s (94).jpg,True,"24,233,1280,500",fresh,fresh,0.998956,0.998956,0.001044,True,
Dataset/Fresh/FreshApple/rotated_by_30_Screen Shot 2018-06-08 at 5.25.22 PM.png,True,"0,50,253,292",fresh,fresh,0.983208,0.983208,0.016791,True,
Dataset/Fresh/FreshTomato/tomat_segar (676).jpg,True,"209,153,354,349",fresh,fresh,0.999979,0.999979,0.000021,True,
Dataset/Rotten/RottenApple/vertical_flip_Screen Shot 2018-06-08 at 2.37.24 PM.png,True,"24,20,320,311",rotten,rotten,0.815806,0.184194,0.815806,True,
Dataset/Fresh/FreshCarrot/A260109XX_11108_jpg.rf.9d0f44ea1d2cde754472ad5bb54faab4.jpg,True,"66,0,640,640",fresh,fresh,0.736678,0.736678,0.263322,True,
Dataset/Fresh/FreshCarrot/wortel_s (69).jpg,True,"24,228,1280,500",fresh,fresh,0.999755,0.999755,0.000245,True,
Dataset/Fresh/FreshCarrot/A260109XX_10958_jpg.rf.e7ba66229815ef1fe467a64aa4b03355.jpg,True,"237,0,640,471",fresh,fresh,0.945033,0.945033,0.054967,True,
Dataset/Rotten/RottenCapsicum/WhatsApp Image 2020-11-07 at 11.30.47 PM.jpg_0_3813.jpg,True,"98,97,413,497",rotten,rotten,0.586713,0.413287,0.586713,True,
Dataset/Fresh/FreshTomato/tomat_segar (3374).jpg,True,"0,27,242,256",fresh,fresh,0.999699,0.999699,0.000301,True,
Dataset/Fresh/FreshTomato/o (1444).jpg,True,"21,21,241,245",fresh,fresh,0.999928,0.999928,0.000072,True,
Dataset/Fresh/FreshOrange/r_15_100_jpg.rf.70258f360d0f3bd71c85c1bcdbed3781.jpg,True,"0,0,98,100",fresh,fresh,0.998291,0.998291,0.001709,True,
Dataset/Fresh/FreshCarrot/Image_46_jpg.rf.7fda4d2db9daf45fd576efa27f6e43d0.jpg,True,"34,41,810,457",fresh,fresh,0.996890,0.996890,0.003110,True,
Dataset/Fresh/FreshTomato/o (1389).jpg,True,"20,12,236,244",fresh,fresh,0.999051,0.999051,0.000949,True,
Dataset/Fresh/FreshCucumber/freshCucumber (564).jpg,True,"0,144,832,361",fresh,fresh,0.746517,0.746517,0.253483,True,
Dataset/Fresh/FreshTomato/t_f142.png,True,"149,76,310,235",fresh,fresh,0.772120,0.772120,0.227880,True,
Dataset/Fresh/FreshPotato/p_f212.png,True,"180,74,302,226",fresh,rotten,0.797081,0.202919,0.797081,False,
Dataset/Rotten/RottenTomato/t_r842.png,True,"59,79,100,115",rotten,rotten,0.968570,0.031430,0.968570,True,
Dataset/Rotten/RottenApple/rottenApple (296).jpg,True,"10,7,327,348",rotten,rotten,0.580881,0.419119,0.580881,True,
Dataset/Fresh/FreshCarrot/613_jpg.rf.742f36d1139a02ed6006e6470469b17e.jpg,True,"51,73,598,578",fresh,fresh,0.999987,0.999987,0.000013,True,
Dataset/Fresh/FreshOrange/rotated_by_60_Screen Shot 2018-06-12 at 11.58.24 PM.png,True,"0,17,402,391",fresh,fresh,0.931290,0.931290,0.068710,True,
Dataset/Fresh/FreshCarrot/freshCarrot (393).jpg,True,"0,0,100,100",fresh,fresh,0.749207,0.749207,0.250793,True,
Dataset/Fresh/FreshCarrot/0039.jpg,True,"0,0,224,224",fresh,fresh,0.999247,0.999247,0.000753,True,
Dataset/Fresh/FreshOrange/images--90-_jpg.rf.64bac16516f7dbca88bb11c6ffc6b051.jpg,True,"39,0,198,156",fresh,fresh,0.999976,0.999976,0.000024,True,
Dataset/Fresh/FreshTomato/tomat_segar (3209).jpg,True,"10,14,240,244",fresh,fresh,0.999423,0.999423,0.000577,True,
Dataset/Fresh/FreshOrange/Screen-Shot-2018-06-13-at-12-19-17-AM_png.rf.b21ce779b330f7dff1d5e354c071af4a.jpg,True,"0,19,384,416",fresh,fresh,0.998051,0.998051,0.001949,True,
Dataset/Fresh/FreshCarrot/carrot_-188_jpg.rf.48987d2ffe0f7be3ba505b0354af8081.jpg,True,"0,65,750,750",fresh,fresh,0.897743,0.897743,0.102257,True,
Dataset/Fresh/FreshCarrot/car_72_png.rf.d5cc49a577e10c2505ad829439cec4f7.jpg,True,"112,42,491,535",fresh,fresh,0.850648,0.850648,0.149352,True,
Dataset/Rotten/RottenPotato/p_r728.png,True,"125,75,310,248",rotten,fresh,0.567028,0.567028,0.432972,False,
Dataset/Rotten/RottenOrange/rotated_by_45_Screen Shot 2018-06-12 at 11.43.49 PM.png,True,"34,18,356,341",rotten,rotten,0.999984,0.000016,0.999984,True,
Dataset/Fresh/FreshCarrot/wortel_segar (1979).jpg,True,"42,40,245,250",fresh,fresh,0.978962,0.978962,0.021038,True,
Dataset/Fresh/FreshCapciscum/IMG_20200826_172333.jpg_0_2665.jpg,True,"0,0,449,380",fresh,fresh,0.985272,0.985272,0.014728,True,
Dataset/Fresh/FreshCarrot/A260109XX_11285_jpg.rf.268fa72dd0cbd5c5156fc8473bf795f2.jpg,True,"0,0,640,640",fresh,fresh,0.668630,0.668630,0.331370,True,
Dataset/Fresh/FreshTomato/tomat_segar (6136).jpg,True,"186,123,378,388",fresh,fresh,0.999972,0.999972,0.000028,True,
Dataset/Rotten/RottenMango/rottenMango (112).jpg,True,"78,47,150,144",rotten,rotten,0.875314,0.124686,0.875314,True,
Dataset/Rotten/RottenCarrot/(92).jpg,True,"181,126,497,963",rotten,fresh,0.740891,0.740891,0.259109,False,
Dataset/Fresh/FreshCapciscum/IMG_20200825_144644.jpg_0_21.jpg,True,"134,11,490,482",fresh,fresh,0.956122,0.956122,0.043878,True,
Dataset/Fresh/FreshTomato/reject (283).jpg,True,"199,164,356,388",fresh,fresh,0.999982,0.999982,0.000018,True,
Dataset/Fresh/FreshTomato/tomat_segar (2247).jpg,True,"109,53,192,179",fresh,fresh,0.999722,0.999722,0.000278,True,
Dataset/Rotten/RottenPotato/p_r454.png,True,"124,82,325,238",rotten,rotten,0.967318,0.032682,0.967318,True,
Dataset/Fresh/FreshTomato/o (1824).jpg,True,"44,23,213,230",fresh,fresh,0.992212,0.992212,0.007787,True,
Dataset/Fresh/FreshCarrot/102_jpg.rf.db794b25506f147d0a8dd8b26387f121.jpg,True,"43,2,640,596",fresh,fresh,0.985047,0.985047,0.014952,True,
Dataset/Fresh/FreshBellpepper/freshPepper (511).jpg,True,"0,0,224,224",fresh,fresh,0.965993,0.965993,0.034007,True,
Dataset/Fresh/FreshTomato/o (1231).jpg,True,"31,44,226,212",fresh,fresh,0.987357,0.987357,0.012643,True,
Dataset/Fresh/FreshOrange/jeruk_s (1092).jpg,True,"31,70,177,153",fresh,fresh,0.999823,0.999823,0.000177,True,
Dataset/Fresh/FreshCarrot/(3).jpg,True,"240,112,481,1046",fresh,fresh,0.999937,0.999937,0.000063,True,
Dataset/Fresh/FreshTomato/tomat_segar (6119).jpg,True,"190,122,362,385",fresh,fresh,0.999764,0.999764,0.000236,True,
Dataset/Fresh/FreshPotato/p_f039.png,True,"158,99,278,216",fresh,rotten,0.820406,0.179594,0.820406,False,
Dataset/Fresh/FreshTomato/o (1711).jpg,True,"30,16,229,250",fresh,fresh,0.999754,0.999754,0.000246,True,
Dataset/Fresh/FreshTomato/tomat_segar (263).jpg,True,"133,377,584,891",fresh,fresh,0.999899,0.999899,0.000101,True,
Dataset/Fresh/FreshCarrot/20220413_191856_jpg.rf.dd01754b4f48ee30f20432cf5a3b996d.jpg,True,"441,384,1262,2036",fresh,fresh,0.999958,0.999958,0.000042,True,
Dataset/Fresh/FreshTomato/IMG_20220530_084329.jpg,True,"90,35,174,193",fresh,fresh,0.910347,0.910347,0.089653,True,
Dataset/Rotten/RottenCarrot/rottenCarrot (117).jpg,True,"7,22,80,78",rotten,fresh,0.886797,0.886797,0.113203,False,
Dataset/Fresh/FreshCarrot/wortel_segar (1779).jpg,True,"16,107,224,239",fresh,rotten,0.904645,0.095355,0.904645,False,
Dataset/Rotten/RottenApple/vertical_flip_Screen Shot 2018-06-07 at 2.54.49 PM.png,True,"63,14,347,327",rotten,rotten,0.999920,0.000080,0.999920,True,
Dataset/Fresh/FreshApple/a_f211.png,True,"47,0,357,362",fresh,fresh,0.929458,0.929458,0.070542,True,
Dataset/Fresh/FreshMango/freshMango (190).jpg,True,"80,76,143,168",fresh,fresh,0.997818,0.997818,0.002182,True,
Dataset/Rotten/RottenBanana/rotated_by_60_Screen Shot 2018-06-12 at 8.51.56 PM.png,True,"68,27,498,390",rotten,rotten,0.992534,0.007466,0.992534,True,
Dataset/Rotten/RottenCarrot/White Mold_128.jpg,True,"102,248,843,442",rotten,rotten,0.999398,0.000602,0.999398,True,
Dataset/Rotten/RottenTomato/(178).jpg,True,"324,88,830,538",rotten,fresh,0.742745,0.742745,0.257255,False,
Dataset/Rotten/RottenBanana/rotated_by_75_Screen Shot 2018-06-12 at 9.27.52 PM.png,True,"105,26,340,310",rotten,rotten,0.999475,0.000525,0.999475,True,
Dataset/Fresh/FreshCarrot/3_hsv_png.rf.9f200ed60501caa6c2ec7493e1b5e23c.jpg,True,"315,193,640,630",fresh,fresh,0.760330,0.760330,0.239670,True,
Dataset/Fresh/FreshBellpepper/freshPepper (424).jpg,True,"43,0,174,188",fresh,fresh,0.955965,0.955965,0.044035,True,
Dataset/Fresh/FreshPotato/p_f217.png,True,"112,111,341,211",fresh,fresh,0.727638,0.727638,0.272362,True,
Dataset/Rotten/RottenTomato/rottenTomato (35).jpg,True,"8,82,130,208",rotten,rotten,0.663339,0.336661,0.663339,True,
Dataset/Fresh/FreshCarrot/freshCarrot (304).jpg,True,"9,0,224,215",fresh,fresh,0.991602,0.991602,0.008398,True,
Dataset/Fresh/FreshOrange/jeruk_s (350).jpg,True,"59,31,768,788",fresh,fresh,0.999635,0.999635,0.000365,True,
Dataset/Fresh/FreshBanana/b_f302.png,True,"52,3,593,374",fresh,fresh,0.999456,0.999456,0.000543,True,
Dataset/Rotten/RottenBanana/rotated_by_45_Screen Shot 2018-06-12 at 8.57.54 PM.png,True,"6,0,447,344",rotten,rotten,0.999522,0.000478,0.999522,True,
Dataset/Fresh/FreshCarrot/(238).jpg,True,"29,19,880,543",fresh,fresh,0.772205,0.772205,0.227795,True,
Dataset/Fresh/FreshCapciscum/capsicum3_7.jpg_0_5740.jpg,True,"224,184,415,429",fresh,fresh,0.999741,0.999741,0.000259,True,
Dataset/Fresh/FreshCarrot/wortel_segar (1819).jpg,True,"18,35,239,209",fresh,fresh,0.892332,0.892332,0.107668,True,
Dataset/Fresh/FreshCarrot/wortel_s (186).jpg,True,"0,217,4242,2185",fresh,fresh,0.902727,0.902727,0.097273,True,
Dataset/Fresh/FreshCarrot/(227).jpg,True,"86,246,1210,531",fresh,fresh,0.999158,0.999158,0.000842,True,
Dataset/Rotten/RottenBanana/Screen Shot 2018-06-12 at 8.58.18 PM.png,True,"0,25,286,350",rotten,rotten,0.994832,0.005168,0.994832,True,
Dataset/Fresh/FreshBanana/freshBanana (120).png,True,"107,39,320,258",fresh,fresh,0.953299,0.953299,0.046701,True,
Dataset/Rotten/RottenApple/rotated_by_45_Screen Shot 2018-06-07 at 2.37.01 PM.png,True,"28,6,346,334",rotten,rotten,0.626865,0.373135,0.626865,True,
Dataset/Fresh/FreshCarrot/213d77c38407d2847e96018e5c941baec619e804d54749e665b39834820b_jpg.rf.f2b59b40832a6f353f418f201033b883.jpg,True,"241,0,640,628",fresh,fresh,0.744027,0.744027,0.255973,True,
Dataset/Rotten/RottenStrawberry/rottenStrawberry (115).jpg,True,"162,16,211,113",rotten,rotten,0.998634,0.001366,0.998634,True,
Dataset/Fresh/FreshStrawberry/freshStrawberry (311).jpg,True,"13,0,86,100",fresh,fresh,0.974454,0.974454,0.025546,True,
Dataset/Fresh/FreshCarrot/wortel_s (261).jpg,True,"289,938,3999,2080",fresh,fresh,0.995099,0.995099,0.004901,True,
Dataset/Fresh/FreshCarrot/40_jpg.rf.473cbb973a0bdcdfae7bb0b79b4ce644.jpg,True,"37,0,533,619",fresh,fresh,0.999857,0.999857,0.000143,True,
Dataset/Fresh/FreshCarrot/A260109XX_11285_jpg.rf.c82f69903c7b539383231ee0cff9d091.jpg,True,"0,33,640,640",fresh,fresh,0.629084,0.629084,0.370916,True,
Dataset/Rotten/RottenMango/rottenMango (308).jpg,True,"49,56,233,153",rotten,rotten,0.713964,0.286036,0.713964,True,
Dataset/Fresh/FreshCarrot/wortel_segar (1269).jpg,True,"6,35,92,61",fresh,rotten,0.607911,0.392089,0.607911,False,
Dataset/Fresh/FreshCucumber/freshCucumber (524).jpg,True,"12,12,435,289",fresh,fresh,0.990905,0.990905,0.009095,True,
Dataset/Fresh/FreshCarrot/(44).jpg,True,"169,6,1011,716",fresh,fresh,0.991024,0.991024,0.008976,True,
Dataset/Rotten/RottenApple/a_r664.png,True,"31,22,357,317",rotten,rotten,0.761441,0.238559,0.761441,True,
Dataset/Fresh/FreshTomato/IMG_20220525_073714.jpg,True,"36,63,230,231",fresh,fresh,0.726269,0.726269,0.273731,True,
Dataset/Rotten/RottenCucumber/c_r182.png,True,"139,151,297,217",rotten,rotten,0.612944,0.387056,0.612944,True,
Dataset/Fresh/FreshTomato/tomat_segar (5615).jpg,True,"145,65,204,139",fresh,fresh,0.999996,0.999996,0.000004,True,
Dataset/Fresh/FreshApple/translation_Screen Shot 2018-06-08 at 5.01.15 PM.png,True,"59,60,377,422",fresh,fresh,0.996021,0.996021,0.003979,True,
Dataset/Fresh/FreshBittergroud/bitter-gourd 1.jpg_0_3272.jpg,True,"22,173,446,344",fresh,fresh,0.993568,0.993568,0.006433,True,
Dataset/Fresh/FreshBanana/rotated_by_60_Screen Shot 2018-06-12 at 9.55.19 PM.png,True,"54,0,508,384",fresh,fresh,0.999928,0.999928,0.000072,True,
Dataset/Rotten/RottenApple/Screen Shot 2018-06-07 at 2.54.49 PM.png,True,"49,14,333,327",rotten,rotten,0.999954,0.000046,0.999954,True,
